,chars,numbers,frequencies
0,th,61,0.0215929203539823
1,e√,60,0.021238938053097345
2,he,50,0.017699115044247787
3,oœ,46,0.016283185840707964
4,πœ,45,0.01592920353982301
5,∫t,45,0.01592920353982301
6,œe,38,0.013451327433628318
7,eƒ,36,0.012743362831858408
8,∫e,35,0.012389380530973451
9,√e,35,0.012389380530973451
10,œt,33,0.01168141592920354
11,et,32,0.011327433628318584
12,√o,30,0.010619469026548672
13,e∫,28,0.00991150442477876
14,to,28,0.00991150442477876
15,åœ,28,0.00991150442477876
16,å∂,27,0.009557522123893806
17,πt,27,0.009557522123893806
18,å®,27,0.009557522123893806
19,t÷,25,0.008849557522123894
20,te,24,0.008495575221238939
21,eœ,24,0.008495575221238939
22,∫≥,24,0.008495575221238939
23,ƒo,24,0.008495575221238939
24,≤e,24,0.008495575221238939
25,eå,23,0.008141592920353982
26,å√,23,0.008141592920353982
27,√∫,23,0.008141592920353982
28,ƒå,23,0.008141592920353982
29,®π,22,0.007787610619469027
30,t≠,22,0.007787610619469027
31,ƒπ,22,0.007787610619469027
32,tπ,22,0.007787610619469027
33,åt,22,0.007787610619469027
34,o√,22,0.007787610619469027
35,œƒ,22,0.007787610619469027
36,≥ƒ,21,0.007433628318584071
37,∫å,21,0.007433628318584071
38,tå,20,0.007079646017699115
39,o≥,20,0.007079646017699115
40,e∂,20,0.007079646017699115
41,ee,20,0.007079646017699115
42,∂o,19,0.006725663716814159
43,å∫,19,0.006725663716814159
44,÷o,19,0.006725663716814159
45,®e,18,0.006371681415929204
46,π∫,18,0.006371681415929204
47,®o,18,0.006371681415929204
48,ß≥,17,0.006017699115044248
49,ot,17,0.006017699115044248
50,œ∫,17,0.006017699115044248
51,o∫,17,0.006017699115044248
52,oo,16,0.005663716814159292
53,∫∫,16,0.005663716814159292
54,√π,16,0.005663716814159292
55,ƒe,16,0.005663716814159292
56,e≤,15,0.005309734513274336
57,√å,15,0.005309734513274336
58,≠∫,15,0.005309734513274336
59,ße,15,0.005309734513274336
60,∫π,15,0.005309734513274336
61,≥∫,14,0.00495575221238938
62,≥®,14,0.00495575221238938
63,π®,14,0.00495575221238938
64,≥√,14,0.00495575221238938
65,®®,14,0.00495575221238938
66,®≠,14,0.00495575221238938
67,e®,13,0.004601769911504424
68,∂e,13,0.004601769911504424
69,œå,13,0.004601769911504424
70,o∆,13,0.004601769911504424
71,∆o,13,0.004601769911504424
72,≈®,13,0.004601769911504424
73,eß,13,0.004601769911504424
74,≥˚,12,0.004247787610619469
75,hå,12,0.004247787610619469
76,√t,12,0.004247787610619469
77,∫o,12,0.004247787610619469
78,πo,11,0.0038938053097345134
79,o÷,11,0.0038938053097345134
80,πƒ,11,0.0038938053097345134
81,oπ,11,0.0038938053097345134
82,tt,11,0.0038938053097345134
83,®∫,11,0.0038938053097345134
84,åπ,10,0.0035398230088495575
85,∂∂,10,0.0035398230088495575
86,≈å,10,0.0035398230088495575
87,oƒ,10,0.0035398230088495575
88,÷e,10,0.0035398230088495575
89,ze,10,0.0035398230088495575
90,œ˚,10,0.0035398230088495575
