,chars,numbers,frequencies
0,the,46,0.016283185840707964
1,one,20,0.007079646017699115
2,sud,19,0.006725663716814159
3,udo,19,0.006725663716814159
4,two,17,0.006017699115044248
5,ers,14,0.00495575221238938
6,and,14,0.00495575221238938
7,ent,13,0.004601769911504424
8,sth,12,0.004247787610619469
9,era,12,0.004247787610619469
10,ity,12,0.004247787610619469
11,ero,12,0.004247787610619469
12,bug,11,0.0038938053097345134
13,edi,11,0.0038938053097345134
14,all,11,0.0038938053097345134
15,eth,10,0.0035398230088495575
16,ere,10,0.0035398230088495575
17,acc,9,0.003185840707964602
18,ess,9,0.003185840707964602
19,ons,9,0.003185840707964602
20,day,9,0.003185840707964602
21,zer,9,0.003185840707964602
22,net,9,0.003185840707964602
23,heb,9,0.003185840707964602
24,lin,8,0.002831858407079646
25,eve,8,0.002831858407079646
26,dis,8,0.002831858407079646
27,tod,8,0.002831858407079646
28,ing,8,0.002831858407079646
29,her,8,0.002831858407079646
30,ver,8,0.002831858407079646
31,sec,8,0.002831858407079646
32,ack,8,0.002831858407079646
33,ose,8,0.002831858407079646
34,oon,8,0.002831858407079646
35,use,7,0.00247787610619469
36,ser,7,0.00247787610619469
37,roo,7,0.00247787610619469
38,oot,7,0.00247787610619469
39,cce,7,0.00247787610619469
40,ces,7,0.00247787610619469
41,ion,7,0.00247787610619469
42,sto,7,0.00247787610619469
43,oda,7,0.00247787610619469
44,yst,7,0.00247787610619469
45,ste,7,0.00247787610619469
46,hre,7,0.00247787610619469
47,ecu,7,0.00247787610619469
48,cur,7,0.00247787610619469
49,uri,7,0.00247787610619469
50,rit,7,0.00247787610619469
51,ual,7,0.00247787610619469
52,hes,7,0.00247787610619469
53,din,7,0.00247787610619469
54,are,7,0.00247787610619469
55,int,7,0.00247787610619469
56,for,7,0.00247787610619469
57,sed,7,0.00247787610619469
58,sta,7,0.00247787610619469
59,let,6,0.0021238938053097347
60,inu,6,0.0021238938053097347
61,nux,6,0.0021238938053097347
62,vul,6,0.0021238938053097347
63,uln,6,0.0021238938053097347
64,lne,6,0.0021238938053097347
65,ner,6,0.0021238938053097347
66,rab,6,0.0021238938053097347
67,abi,6,0.0021238938053097347
68,bil,6,0.0021238938053097347
69,ili,6,0.0021238938053097347
70,lit,6,0.0021238938053097347
71,im≈,6,0.0021238938053097347
72,m≈a,6,0.0021238938053097347
73,nst,6,0.0021238938053097347
74,tyo,6,0.0021238938053097347
75,fou,6,0.0021238938053097347
76,our,6,0.0021238938053097347
77,tin,6,0.0021238938053097347
78,eco,6,0.0021238938053097347
79,ins,6,0.0021238938053097347
80,tac,6,0.0021238938053097347
81,oth,6,0.0021238938053097347
82,eda,6,0.0021238938053097347
83,ove,6,0.0021238938053097347
84,qua,6,0.0021238938053097347
85,aly,6,0.0021238938053097347
86,lys,6,0.0021238938053097347
87,ex≈,6,0.0021238938053097347
88,x≈l,6,0.0021238938053097347
89,ati,6,0.0021238938053097347
90,esu,6,0.0021238938053097347
91,≈lo,6,0.0021238938053097347
92,ine,6,0.0021238938053097347
93,ort,6,0.0021238938053097347
94,eon,6,0.0021238938053097347
95,thr,6,0.0021238938053097347
96,oze,6,0.0021238938053097347
97,ear,5,0.0017699115044247787
98,aro,5,0.0017699115044247787
99,hev,5,0.0017699115044247787
100,ame,5,0.0017699115044247787
101,med,5,0.0017699115044247787
102,edb,5,0.0017699115044247787
103,nsa,5,0.0017699115044247787
104,dit,5,0.0017699115044247787
105,act,5,0.0017699115044247787
106,ost,5,0.0017699115044247787
107,tio,5,0.0017699115044247787
108,tal,5,0.0017699115044247787
109,twe,5,0.0017699115044247787
110,wen,5,0.0017699115044247787
111,nty,5,0.0017699115044247787
112,ven,5,0.0017699115044247787
113,ana,5,0.0017699115044247787
114,low,5,0.0017699115044247787
115,ted,5,0.0017699115044247787
116,whi,5,0.0017699115044247787
117,ide,5,0.0017699115044247787
118,etw,5,0.0017699115044247787
119,com,5,0.0017699115044247787
120,nas,5,0.0017699115044247787
121,isc,5,0.0017699115044247787
122,red,5,0.0017699115044247787
123,oin,5,0.0017699115044247787
124,loi,5,0.0017699115044247787
125,oit,5,0.0017699115044247787
126,cou,5,0.0017699115044247787
127,con,5,0.0017699115044247787
128,ont,5,0.0017699115044247787
129,rea,5,0.0017699115044247787
130,nth,5,0.0017699115044247787
131,efo,5,0.0017699115044247787
132,rth,5,0.0017699115044247787
133,dth,5,0.0017699115044247787
134,ree,5,0.0017699115044247787
135,woz,5,0.0017699115044247787
136,eig,5,0.0017699115044247787
137,igh,5,0.0017699115044247787
138,ght,5,0.0017699115044247787
139,set,5,0.0017699115044247787
140,nda,5,0.0017699115044247787
141,ese,5,0.0017699115044247787
142,yea,4,0.001415929203539823
143,gai,4,0.001415929203539823
144,ain,4,0.001415929203539823
145,vel,4,0.001415929203539823
146,sst,4,0.001415929203539823
147,evu,4,0.001415929203539823
148,bar,4,0.001415929203539823
149,ron,4,0.001415929203539823
150,sam,4,0.001415929203539823
151,≈ac,4,0.001415929203539823
152,ist,4,0.001415929203539823
153,ytw,4,0.001415929203539823
154,sev,4,0.001415929203539823
155,ntw,4,0.001415929203539823
156,yon,4,0.001415929203539823
157,rof,4,0.001415929203539823
158,oft,4,0.001415929203539823
159,bee,4,0.001415929203539823
160,atc,4,0.001415929203539823
161,edt,4,0.001415929203539823
162,dto,4,0.001415929203539823
163,tha,4,0.001415929203539823
164,hat,4,0.001415929203539823
165,ite,4,0.001415929203539823
166,rst,4,0.001415929203539823
167,hic,4,0.001415929203539823
168,ich,4,0.001415929203539823
169,dac,4,0.001415929203539823
170,cve,4,0.001415929203539823
171,nti,4,0.001415929203539823
172,ert,4,0.001415929203539823
173,lea,4,0.001415929203539823
174,eas,4,0.001415929203539823
175,≈le,4,0.001415929203539823
176,eex,4,0.001415929203539823
177,yth,4,0.001415929203539823
178,att,4,0.001415929203539823
179,cke,4,0.001415929203539823
180,≈ri,4,0.001415929203539823
181,ile,4,0.001415929203539823
182,oun,4,0.001415929203539823
183,unt,4,0.001415929203539823
184,eni,4,0.001415929203539823
185,ntr,4,0.001415929203539823
186,sar,4,0.001415929203539823
187,ors,4,0.001415929203539823
188,sin,4,0.001415929203539823
189,tec,4,0.001415929203539823
190,equ,4,0.001415929203539823
191,tor,4,0.001415929203539823
192,ebe,4,0.001415929203539823
193,scl,4,0.001415929203539823
194,clo,4,0.001415929203539823
195,los,4,0.001415929203539823
196,edo,4,0.001415929203539823
197,he≈,4,0.001415929203539823
198,ast,4,0.001415929203539823
199,ebu,4,0.001415929203539823
200,der,4,0.001415929203539823
201,ous,4,0.001415929203539823
202,neo,4,0.001415929203539823
203,nee,4,0.001415929203539823
204,ssa,4,0.001415929203539823
205,sai,4,0.001415929203539823
206,aid,4,0.001415929203539823
207,lls,4,0.001415929203539823
208,lso,4,0.001415929203539823
209,eto,4,0.001415929203539823
210,rat,4,0.001415929203539823
211,san,4,0.001415929203539823
212,bes,4,0.001415929203539823
213,bot,4,0.001415929203539823
214,nye,3,0.0010619469026548673
215,rol,3,0.0010619469026548673
216,dsu,3,0.0010619469026548673
217,inr,3,0.0010619469026548673
218,nro,3,0.0010619469026548673
219,iti,3,0.0010619469026548673
220,mos,3,0.0010619469026548673
221,tli,3,0.0010619469026548673
222,but,3,0.0010619469026548673
223,uti,3,0.0010619469026548673
224,ata,3,0.0010619469026548673
225,nez,3,0.0010619469026548673
226,ofo,3,0.0010619469026548673
227,cti,3,0.0010619469026548673
228,gal,3,0.0010619469026548673
229,ech,3,0.0010619469026548673
230,fth,3,0.0010619469026548673
231,sys,3,0.0010619469026548673
232,tem,3,0.0010619469026548673
233,has,3,0.0010619469026548673
234,a≈≈,3,0.0010619469026548673
235,ele,3,0.0010619469026548673
236,ota,3,0.0010619469026548673
237,rec,3,0.0010619469026548673
238,ive,3,0.0010619469026548673
239,vet,3,0.0010619469026548673
240,thi,3,0.0010619469026548673
241,omm,3,0.0010619469026548673
242,mon,3,0.0010619469026548673
243,kno,3,0.0010619469026548673
244,now,3,0.0010619469026548673
245,own,3,0.0010619469026548673
246,wna,3,0.0010619469026548673
247,was,3,0.0010619469026548673
248,sdi,3,0.0010619469026548673
249,dby,3,0.0010619469026548673
250,fir,3,0.0010619469026548673
251,rto,3,0.0010619469026548673
252,ase,3,0.0010619469026548673
253,eof,3,0.0010619469026548673
254,doi,3,0.0010619469026548673
255,asi,3,0.0010619469026548673
256,m≈l,3,0.0010619469026548673
257,lee,3,0.0010619469026548673
258,nat,3,0.0010619469026548673
259,eba,3,0.0010619469026548673
260,tta,3,0.0010619469026548673
261,ker,3,0.0010619469026548673
262,cco,3,0.0010619469026548673
263,doe,3,0.0010619469026548673
264,oer,3,0.0010619469026548673
265,tro,3,0.0010619469026548673
266,eal,3,0.0010619469026548673
267,rsu,3,0.0010619469026548673
268,re≈,3,0.0010619469026548673
269,evi,3,0.0010619469026548673
270,obe,3,0.0010619469026548673
271,elo,3,0.0010619469026548673
272,woo,3,0.0010619469026548673
273,dos,3,0.0010619469026548673
274,tyf,3,0.0010619469026548673
275,dov,3,0.0010619469026548673
276,ars,3,0.0010619469026548673
277,sof,3,0.0010619469026548673
278,ofa,3,0.0010619469026548673
279,eet,3,0.0010619469026548673
280,≈re,3,0.0010619469026548673
281,iou,3,0.0010619469026548673
282,nen,3,0.0010619469026548673
283,nin,3,0.0010619469026548673
284,eei,3,0.0010619469026548673
285,ngs,3,0.0010619469026548673
286,yss,3,0.0010619469026548673
287,nmo,3,0.0010619469026548673
288,rse,3,0.0010619469026548673
289,als,3,0.0010619469026548673
290,tiv,3,0.0010619469026548673
291,msa,3,0.0010619469026548673
292,ble,3,0.0010619469026548673
293,nde,3,0.0010619469026548673
294,ant,3,0.0010619469026548673
295,sfo,3,0.0010619469026548673
296,doo,3,0.0010619469026548673
297,tth,3,0.0010619469026548673
298,o≈e,3,0.0010619469026548673
299,≈er,3,0.0010619469026548673
300,son,3,0.0010619469026548673
301,zdn,3,0.0010619469026548673
302,dne,3,0.0010619469026548673
303,otn,3,0.0010619469026548673
304,tne,3,0.0010619469026548673
305,oul,3,0.0010619469026548673
306,uld,3,0.0010619469026548673
307,ond,3,0.0010619469026548673
308,hac,3,0.0010619469026548673
309,dat,3,0.0010619469026548673
310,est,3,0.0010619469026548673
311,ten,2,0.0007079646017699115
312,eny,2,0.0007079646017699115
313,old,2,0.0007079646017699115
314,obu,2,0.0007079646017699115
315,ets,2,0.0007079646017699115
316,sga,2,0.0007079646017699115
317,lev,2,0.0007079646017699115
318,lac,2,0.0007079646017699115
319,dba,2,0.0007079646017699115
320,cts,2,0.0007079646017699115
321,smo,2,0.0007079646017699115
322,str,2,0.0007079646017699115
